platform,title,developer,score,num_of_reviews
PS4,Metro Exodus,4A Games/Deep Silver,79.00,21
NS,Captain Toad: Treasure Tracker - Special Episode,Nintendo Software Technology/Nintendo,79.00,5
NS,Tangledeep,Impact Gameworks,79.00,5
PC,The Textorcist: The Story of Ray Bibbia,Morbidware/Headup Games,79.00,5
PC,The Settlers 7: Paths to a Kingdom,Blue Byte/Ubisoft,78.78,18
NS,Final Fantasy IX,SquareSoft/Square Enix,78.67,9
X360,Lost Planet: Extreme Condition,Capcom,78.56,88
NS,ToeJam & Earl: Back in the Groove,Humanature Studios/Limited Run Games,78.46,13
NS,Golf Peaks,Afterburn/7Levels,78.44,9
PS4,Firewall Zero Hour,First Contact Entertainment/Sony Interactive Entertainment,78.44,18
NS,Octahedron: Transfixed Edition,Demimonde/Square Enix,78.40,5
XONE,Far Cry New Dawn,Ubisoft Montreal/Ubisoft,78.31,13
PC,Far Cry New Dawn,Ubisoft Montreal/Ubisoft,78.12,8
PS4,Forgotton Anne,Throughline Games/Square Enix,78.07,14
X360,Command & Conquer: Red Alert 3,EA LA/Electronic Arts,78.03,33
NS,Hob: The Definitive Edition,Panic Button/Perfect World Entertainment,78.00,5
NS,Bombslinger,Mode4/Chorus Worldwide,78.00,5
X360,Lost Planet: Extreme Condition Colonies Edition,Capcom,77.98,22
PS4,The Persistence,Firesprite,77.91,11
NS,Musynx,PM Studios Inc.,77.86,7
NS,Victor Vran: Overkill Edition,Haemimont Games,77.78,9
PS4,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,Skybound Games/Telltale Games,77.57,7
PS4,Street Fighter V,Capcom,77.40,59
X360,Brothers in Arms: Hell's Highway,Gearbox Software/Ubisoft,77.19,61
XONE,Madden NFL 19,EA Tiburon/Electronic Arts,77.18,11
PS4,Victor Vran: Overkill Edition,Haemimont Games,76.92,13
NS,Mechstermination Force,Horberg Productions,76.90,10
XONE,Ace Combat 7: Skies Unknown,Bandai Namco Games,76.67,6
NS,Skies of Fury DX,Seed Interactive/IlluminationGames,76.50,6
PS4,Trials Rising,RedLynx/Ubisoft,76.37,23
PS4,Utawarerumono: Mask of Truth,Aqua Plus,76.27,11
NS,Pikuniku,Sectordub/Devolver Digital,76.18,17
NS,The Adventure Pals,Massive Monster/Super Rare Games,76.12,8
NS,Bomb Chicken,Nitrome/Limited Run Games,76.11,9
PS4,Fate/Extella Link,Marvelous Inc./XSEED Games,76.00,10
PS4,Riddled Corpses EX,COWCAT/Red Art Games,75.83,6
NS,Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,75.83,6
NS,Marble It Up!,Bad Habit Productions/Marble It Up,75.78,9
PS4,Forma.8,MixedBag Srl/Limited Run Games,75.44,9
X360,Command & Conquer 3: Kane's Wrath,EA LA/Electronic Arts,75.44,31
PC,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,Skybound Games/Telltale Games,74.78,9
PS4,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal/Ubisoft,74.55,31
NS,Observer,Bloober Team,74.13,8
PS4,Mutant Year Zero: Road to Eden,The Bearded Ladies Consulting/Funcom,74.09,11
PS4,EVERSPACE,ROCKFISH Games,74.00,5
PS4,The Liar Princess and the Blind Prince,Nippon Ichi Software/NIS America,74.00,5
PS4,The Council,Big Bad Wolf/Maximum Games,73.33,6
NS,Unruly Heroes,Magic Design Studios,73.20,5
PS4,Life is Strange 2: Episode 2 - Rules,DONTNOD Entertainment/Square Enix,73.18,11
PS4,The Mage's Tale,InXile Entertainment,73.17,6
X360,Command & Conquer: Red Alert 3 - Commander's Challenge,EA LA/Electronic Arts,73.09,11
NS,Cinders,Crunching Koalas,73.00,5
PC,Arcade Spirits,Fiction Factory Games/PQube,73.00,5
PS4,No Heroes Allowed! VR,Acquire/Sony Interactive Entertainment,73.00,5
PS4,Death end re:Quest,Compile Heart/Idea Factory,72.81,16
PS4,Genesis Alpha One,Radiation Blue/Team 17,72.70,10
PS4,Dead or Alive 6,Team Ninja/Koei Tecmo Games,72.55,39
3DS,Super Mario Maker for Nintendo 3DS,Nintendo,72.42,30
NS,Onimusha: Warlords,NeoBards Entertainment/Capcom,72.31,16
PS4,Monster Energy Supercross:  The Official Videogame 2,Milestone S.r.l,72.20,10
PS4,Far Cry New Dawn,Ubisoft Montreal/Ubisoft,72.11,36
PC,My Time At Portia,Pathea Games,71.94,17
PS4,Dragon Ball: Xenoverse 2,Dimps Corporation/Bandai Namco Games,71.89,27
PS4,Onimusha: Warlords,NeoBards Entertainment/Capcom,71.82,11
NS,Lichtspeer: Double Speer Edition,Lichthund/Crunching Koalas,71.67,15
PS4,Assassin's Creed III Remastered,Ubisoft,71.63,8
PS4,Sundered,Thunder Lotus Games/Limited Run Games,71.50,15
NS,Dragon Marked For Death,Inti Creates,71.36,11
PS4,ToeJam & Earl: Back in the Groove,Humanature Studios/Limited Run Games,71.25,12
PS4,A Fisherman's Tale,Innerspace VR/Vertigo Games,71.00,5
PS4,God Eater 3,Bandai Namco Games,71.00,27
X360,Castlevania: Harmony of Despair,Konami,70.96,45
XONE,Onimusha: Warlords,NeoBards Entertainment/Capcom,70.83,6
NS,Aragami: Shadow Edition,Lince Works/Merge Games,70.83,6
PS4,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,Skybound Games/Telltale Games,70.83,6
PS4,Earth Defense Force: Iron Rain,Yuke's/D3Publisher,70.73,15
X360,Crackdown 2,Ruffian Games/Microsoft Game Studios,70.68,70
PC,Pikuniku,Sectordub/Devolver Digital,70.50,8
XONE,Conarium,Zoetrope Interactive/Iceberg Interactive,70.20,5
NS,Degrees of Separation,Moondrop Studios/Modus Games,70.20,5
NS,RICO,Ground Shatter Ltd./Rising Star Games,70.00,6
PC,ASTRONEER,System Era Softworks,70.00,6
X360,Resident Evil Code: Veronica X HD,Capcom,69.89,27
IOS,Alien: Blackout,D3 Go!/FoxNext Games,69.67,6
NS,Q.U.B.E. 2,Toxic Games/Super Rare Games,69.57,7
PS4,Farming Simulator 19,Giants Software/Oizumi Amuzio,69.38,8
NS,Thea: The Awakening,MuHa Games,69.29,7
NS,Sphinx and the Cursed Mummy,Eurocom/THQ Nordic,69.00,5
NS,The Liar Princess and the Blind Prince,Nippon Ichi Software/NIS America,69.00,5
PC,Outward,Nine Dots Studio,69.00,6
PS4,RIDE 3,Milestone S.r.l/Oizumi Amuzio,69.00,12
PC,Mage's Initiation: Reign of the Elements,Himalaya Studios,68.86,7
PS4,Farpoint,Impulse Gear/Sony Interactive Entertainment,68.64,28
NS,Atari Flashback Classics,AtGames/Atari,68.57,7
PS4,PlayerUnknown's Battlegrounds,PUBG Corporation,68.55,11
NS,Windscape,Magic Sandbox/Headup Games,68.29,7
PS4,Smoke and Sacrifice,Solar Sail Games/Curve Digital,68.12,8
PC,8-Bit Armies,Petroglyph/Soedesco,68.00,5
X360,Lost Planet 2,Capcom,67.95,38
NS,LEGRAND LEGACY: Tale of the Fatebounds,Another Indie,67.86,7
PC,Truberbrook: A Nerd Saves the World,btf/Headup Games,67.83,6
PC,Tech Support: Error Unknown,Dragon Slumber,67.80,5
PS4,Senran Kagura Burst Re:Newal,Honey Parade Games/Marvelous Inc.,67.50,12
PS4,GRIP: Combat Racing,Caged Element Inc./Wired Productions,66.93,15
PS4,Dangerous Driving,Three Fields Entertainment,66.93,14
PC,Jon Shafer's At the Gates,Conifer Games,66.83,12
PS4,Outward,Nine Dots Studio/Deep Silver,66.83,6
NS,Travis Strikes Again: No More Heroes,Grasshopper Manufacture/Marvelous Inc.,66.77,37
NS,Mages of Mystralia,Borealys Games,66.43,7
XONE,The Technomancer,Spiders/Focus Home Interactive,66.30,10
PS4,Utawarerumono: Mask of Deception,Aqua Plus,66.27,15
PS4,Driveclub VR,Evolution Studios/Sony Interactive Entertainment,66.22,18
NS,Townsmen,HandyGames/Worker Bee,66.00,5
PS4,ChromaGun VR,Pixel Maniacs,65.83,6
NS,Fairy Fencer F: Advent Dark Force,Compile Heart/Idea Factory,65.71,7
PS4,The Hong Kong Massacre,VRESKI,65.57,7
NS,The Escapists: Complete Edition,Mouldy Toof Studios/Limited Run Games,65.29,7
PS4,The Occupation,White Paper Games/Humble Bundle,65.13,12
PS4,Light Tracer,Oasis Games/Limited Run Games,65.00,5
PS4,Nelke & the Legendary Alchemists: Ateliers of the New World,Gust/Koei Tecmo Games,65.00,8
PC,The Settlers: Rise of an Empire,Blue Byte/Ubisoft,64.89,18
XONE,Anthem,BioWare/Electronic Arts,64.62,13
PS4,Call of Cthulhu,Cyanide/Oizumi Amuzio,64.52,32
NS,GRIP: Combat Racing,Caged Element Inc./Wired Productions,64.17,6
XONE,Genesis Alpha One,Radiation Blue/Team 17,64.17,6
PC,The Occupation,White Paper Games/Humble,64.14,7
PS4,Smash Hit Plunder,Triangular Pixels/Perpetual,64.00,5
NS,RemiLore: Lost Girl in the Lands of Lore,Pixellore/Nicalis,63.55,11
NS,Raging Justice,MakinGames/Team 17,63.33,6
PC,Shot Online,OnNet/Webzen,62.87,8
