title,platform,metascore,userscore,release_date
Borderlands: Game of the Year Edition,PS4,77,6.4,"Apr  3, 2019"
Final Fantasy IX,Switch,76,7.9,"Feb 13, 2019"
The Textorcist: The Story of Ray Bibbia,PC,76,7.0,"Feb 14, 2019"
Dead or Alive 6,XONE,76,5.5,"Mar  1, 2019"
Pikuniku,Switch,76,7.9,"Jan 24, 2019"
Feudal Alloy,PC,76,7.6,"Jan 17, 2019"
ToeJam & Earl: Back in the Groove,Switch,76,5.7,"Feb 15, 2019"
Observer,Switch,75,8.0,"Feb  7, 2019"
Fate/Extella Link,PS4,75,7.4,"Mar 19, 2019"
Unruly Heroes,Switch,75,7.5,"Jan 23, 2019"
Far Cry New Dawn,XONE,75,3.2,"Feb 15, 2019"
Falcon Age,PS4,75,6.3,"Apr  9, 2019"
City of Brass,Switch,75,tbd,"Feb  8, 2019"
The Raven Remastered,Switch,75,7.5,"Jan 22, 2019"
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,PS4,75,7.8,"Mar 26, 2019"
X-Morph: Defense,Switch,75,7.6,"Feb 21, 2019"
Hob: The Definitive Edition,Switch,75,6.1,"Apr  3, 2019"
Dawn of Man,PC,74,7.2,"Mar  1, 2019"
Life is Strange 2: Episode 2 - Rules,XONE,74,4.1,"Jan 24, 2019"
My Time At Portia,XONE,74,tbd,"Apr 16, 2019"
Dead or Alive 6,PC,74,4.8,"Mar  1, 2019"
Pikuniku,PC,74,6.4,"Jan 24, 2019"
Far Cry New Dawn,PC,73,3.5,"Feb 15, 2019"
Aragami: Shadow Edition,Switch,73,7.2,"Feb 21, 2019"
Life is Strange 2: Episode 2 - Rules,PS4,73,4.5,"Jan 24, 2019"
Zanki Zero: Last Beginning,PS4,73,6.4,"Apr  9, 2019"
ASTRONEER,PC,73,7.1,"Feb  6, 2019"
Assassin's Creed III Remastered,PS4,73,4.2,"Mar 29, 2019"
When Ski Lifts Go Wrong,Switch,73,tbd,"Jan 23, 2019"
SNK 40th Anniversary Collection,PS4,73,2.5,"Mar 19, 2019"
Heaven's Vault,PC,72,5.0,"Apr 16, 2019"
Monster Energy Supercross:The Official Videogame 2,PS4,72,6.2,"Feb  5, 2019"
Dead or Alive 6,PS4,72,5.3,"Mar  1, 2019"
Chocobo's Mystery Dungeon: Every Buddy!,PS4,72,7.9,"Mar 20, 2019"
Death end re:Quest,PS4,72,7.4,"Feb 19, 2019"
The Liar Princess and the Blind Prince,Switch,72,6.8,"Feb 12, 2019"
My Time At Portia,PS4,72,2.8,"Apr 16, 2019"
My Time At Portia,Switch,71,tbd,"Apr 16, 2019"
Far Cry New Dawn,PS4,71,3.5,"Feb 15, 2019"
Vaporum,PS4,71,tbd,"Apr  9, 2019"
RICO,Switch,71,tbd,"Mar 12, 2019"
Chocobo's Mystery Dungeon: Every Buddy!,Switch,71,7.8,"Mar 20, 2019"
God Eater 3,PS4,71,7.2,"Feb  8, 2019"
Melbits World,PS4,71,7.1,"Feb  5, 2019"
The Mage's Tale,PS4,71,5.6,"Feb  5, 2019"
The Hong Kong Massacre,PS4,71,5.9,"Jan 29, 2019"
Thea: The Awakening,Switch,71,tbd,"Feb  1, 2019"
A Fisherman's Tale,PS4,70,4.9,"Jan 22, 2019"
Conarium,XONE,70,tbd,"Feb 12, 2019"
Mage's Initiation: Reign of the Elements,PC,70,7.5,"Jan 30, 2019"
Tech Support: Error Unknown,PC,70,tbd,"Feb 27, 2019"
Pathway,PC,70,8.2,"Apr 11, 2019"
Genesis Alpha One,XONE,70,3.4,"Jan 29, 2019"
Super Dragon Ball Heroes: World Mission,Switch,70,7.5,"Apr  5, 2019"
Nelke & the Legendary Alchemists: Ateliers of the New World,Switch,70,tbd,"Mar 26, 2019"
Weedcraft Inc,PC,70,6.8,"Apr 11, 2019"
The Occupation,XONE,70,3.8,"Mar  5, 2019"
Mages of Mystralia,Switch,69,6.7,"Jan 29, 2019"
Tannenberg,PC,69,8.3,"Feb 13, 2019"
